,Legislative,Judiciary,Essential to Justice,Administration,National Defense,Public Safety,Foreign Relations,Social Assistance,Security,Health,Labor,Education,Culture,Citizenship Rights,Urbanism,Housing,Sanitation,Environmental Management,Science and Technology,Agriculture,Agrarian Organization,Industry,Services and Commerce,Communications,Energy,Transportation,Sports and Leisure,Special Charges,Refinancing
mean,-1.1102230246251565e-16,1.6653345369377348e-16,2.220446049250313e-16,2.868076146948321e-16,-1.942890293094024e-16,-1.1102230246251565e-16,-7.401486830834377e-17,3.700743415417188e-17,-1.8503717077085943e-16,-7.401486830834377e-17,-1.850371707708594e-17,-7.401486830834377e-17,-1.1102230246251565e-16,-2.590520390792032e-16,1.295260195396016e-16,-7.401486830834377e-17,5.551115123125783e-17,0.0,-3.700743415417188e-17,-2.0354088784794536e-16,-2.220446049250313e-16,1.4802973661668753e-16,5.551115123125783e-17,-1.8503717077085943e-16,-9.251858538542972e-17,-4.625929269271486e-16,0.0,-1.4802973661668753e-16,-1.4802973661668753e-16
std,1.0215078369104984,1.0215078369104982,1.0215078369104982,1.0215078369104982,1.0215078369104984,1.0215078369104982,1.0215078369104984,1.0215078369104984,1.0215078369104984,1.0215078369104982,1.0215078369104984,1.0215078369104984,1.0215078369104984,1.0215078369104986,1.0215078369104982,1.0215078369104982,1.0215078369104986,1.0215078369104984,1.0215078369104984,1.0215078369104982,1.0215078369104984,1.0215078369104986,1.0215078369104984,1.0215078369104984,1.0215078369104984,1.0215078369104986,1.0215078369104982,1.0215078369104986,1.0215078369104984
min,-2.049251818906184,-1.4635929427149093,-1.6649276531555992,-1.4865952568628196,-1.0718093845742451,-1.38010826948144,-1.5343806745373951,-0.7897148816589122,-1.2954099955327305,-1.2458967504700864,-1.2982376032005825,-1.1974835960832422,-1.099117760241202,-1.2715443130429729,-2.0913605913461977,-0.5319627099526829,-1.3119788098607317,-1.5428321347942515,-1.5223491639851672,-1.3225103767929247,-1.3513780949494387,-2.0993382237308644,-0.839863014655845,-0.9059851322747566,-0.6229471776811869,-1.6110429076946178,-1.252710618095895,-1.4480044102094225,-0.9198094339051314
max,1.634837858667418,1.7729882357505662,1.8674153333131327,1.640225002665529,1.6780429700525057,2.172059489357648,1.6790122866640376,3.560490452001116,2.0307562624302022,1.9422960355466707,1.749884425785262,2.0449552248717784,3.960464505677201,2.992705418500113,1.7599757938048577,3.567452208514911,1.875004098526412,1.608096101698883,3.0007239522968066,2.107191967468017,2.595611458894491,2.0057202606112225,4.267964212934988,3.1018590378014115,4.1413003522225145,1.7726602492833397,2.471734426718471,1.7932569016213578,2.576056716219592
